index,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,자산총계,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PER,PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량(Ton),에너지 총량(TJ),온실가스 배출총량(TonCo2eq),용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,GICS_Sector,GICS_Industry,RE100,high_carbon,sbti,자본비율,기업규모,N자산총계,N자본총계,N지배주주지분,N시가총액,N부채총계,N매출액,N남성 정규직 수,N남성 직원 수,N직원 수,N사외이사 수,N여성 정규직 수,N여성 직원 수,기업분류,상시근로자수,장애인고용의무인원,장애인근로자수,장애인고용률
2022-12-01 00:00:00,2022,고영,98460,,B+,2754,443,443,393,393,,3917,865,3052,3052,0,69,28.35,4692.96,16.08569354,14.27,10.34,13.42,572,4793,140,22.28,2.66,68655,1.1,0,0,-93,0,0,6,1,0.166666667,0,23,1,4.347826087,85000000,61000000,378,72,386,83,469,17.69722814,82.30277186,0.979274611,0.86746988,40768536,59.38,8.75348E+11,68654755,0,0,0,5,5,5,해당없음,Not Available,,0,0,0.77916773,3,2,2,2,3,1,2,2,2,2,0,2,2,5,,,,
2023-12-01 00:00:00,2023,고영,98460,,,2256,204,204,219,219,,3672,619,3053,3053,0,69,20.27,4946.7,9.042553191,9.72,5.78,7.18,319,5047,140,51.82,3.28,68655,0.85,,-18.08278867,-239,-0.25,-7.043140345,7,2,0.285714286,0,26,2,7.692307692,69000000,47000000,359,80,369,87,456,19.07894737,80.92105263,0.972899729,0.91954023,32464437,47.29,1.13624E+12,68654755,0,0,0,5,5,5,해당없음,Not Available,,0,0,0.831427015,4,2,2,2,3,1,2,2,2,2,1,2,2,5,,,,
2022-12-01 00:00:00,2022,SK오션플랜트,100090,,B,6918,719,719,280,223,58,12200,6940,5260,5208,52,266,131.96,1856.5,10.39317722,3.22,2.86,6.73,512,9783,0,39.29,2.05,53235,0,0,0,-93,0,0,5,2,0.4,0,6,1,16.66666667,90374000,72379000,399,32,485,38,523,7.265774379,92.73422562,0.822680412,0.842105263,2700152,5.07,1.07002E+12,53235012,41075,422.8966311,23625,1,1,1,산업(In),Aerospace & Defense,,0,0,0.431147541,2,3,3,3,3,3,2,2,2,2,1,1,2,4,,,,
2023-12-01 00:00:00,2023,SK오션플랜트,100090,,,9258,756,756,575,575,1,14319,7331,6988,6946,42,296,104.9,2246.87,8.165910564,6.21,4.34,9.46,971,11734,0,20.36,1.68,59196,0,,33.82480486,37,0,-2.227266655,6,2,0.333333333,0,7,1,14.28571429,97845000,70357000,453,60,607,64,671,9.538002981,90.46199702,0.746293245,0.9375,2939362,4.97,1.1703E+12,59195568,0,0,0,5,5,5,산업(In),Aerospace & Defense,,0,0,0.488022907,2,3,3,3,3,3,3,2,2,2,1,2,2,4,,,,
2019-12-01 00:00:00,2019,비상교육,100220,,B,1994,219,219,112,113,-1,2862,718,2144,2144,0,65,33.47,3396.11,10.98294885,5.66,4.13,5.36,868,17481,250,8.95,0.44,12997,3.22,0,0,-93,0,0,,,,0,,,,,,,,,,,,,,,,,1.00985E+11,12996741,0,0,0,5,5,5,커뮤니케이션(Co),Publishing,,0,0,0.749126485,3,2,2,2,1,1,2,,,,0,0,0,5,,,,
2020-12-01 00:00:00,2020,비상교육,100220,B,B,1723,-149,-149,-149,-148,-1,2632,673,1959,1959,0,65,34.34,3111.6,-8.647707487,-8.61,-5.43,-7.24,-1142,16058,150,,0.41,12997,2.26,0,-13.59077232,-368,-0.96,-19.63065633,4,1,0.25,0,5,0,0,190000000,150000000,204,412,217,444,661,67.1709531,32.8290469,0.940092166,0.927927928,990497,7.62,86428327650,12996741,0,0,0,5,5,5,커뮤니케이션(Co),Publishing,,0,0,0.744300912,3,1,2,2,1,1,1,1,1,2,0,3,3,5,,,,
2021-12-01 00:00:00,2021,비상교육,100220,B,B,2156,77,77,60,61,0,2715,716,1999,1999,0,65,35.8,3173,3.571428571,2.81,2.26,3.06,466,16365,220,16.75,0.48,12997,2.82,0,25.13058619,226,0.56,12.21913606,,,,0,5,0,0,145730000,111165000,217,449,232,496,728,68.13186813,31.86813187,0.935344828,0.905241935,958397,7.37,1.01375E+11,12996741,0,0,0,5,5,5,커뮤니케이션(Co),Publishing,,0,0,0.736279926,3,2,2,2,1,1,2,1,1,2,0,3,3,5,,,,
2022-12-01 00:00:00,2022,비상교육,100220,B,B,2530,35,35,-10,-10,0,3092,1120,1972,1972,0,65,56.8,3131.61,1.383399209,-0.4,-0.35,-0.51,-78,16158,100,,0.36,12997,1.71,0,17.34693878,-42,-1.11,-2.188029362,3,1,0.333333333,0,5,0,0,289663000,206406000,268,612,288,669,957,69.90595611,30.09404389,0.930555556,0.914798206,690295,5.31,76030934850,12996741,0,0,0,5,5,5,커뮤니케이션(Co),Publishing,,0,0,0.637774903,3,2,2,2,1,2,2,1,1,2,0,3,3,5,,,,
2023-12-01 00:00:00,2023,비상교육,100220,,,2524,-58,-58,-124,-124,,3626,1814,1812,1812,0,65,100.13,2885.07,-2.297939778,-4.9,-3.68,-6.53,-951,14925,0,,0.36,12997,0,,-0.23715415,-93,-1.71,-3.681338988,4,1,0.25,0,6,0,0,322785000,252778000,285,711,305,769,1074,71.60148976,28.39851024,0.93442623,0.924577373,480933,3.7,70442336220,12996741,0,0,0,5,5,5,커뮤니케이션(Co),Publishing,,0,0,0.499724214,2,2,2,2,1,2,2,1,2,3,0,3,3,5,,,,
2019-12-01 00:00:00,2019,진양홀딩스,100250,,C,2253,129,129,229,151,78,5139,1413,3727,3078,649,279,37.9,1007.81,5.725699068,6.71,4.53,4.98,271,5539,170,9.65,0.47,55895,6.51,0,0,-93,0,0,,,,0,6,0,0,,,,,,,,,,,,,,1.45887E+11,55895292,0,0,0,5,5,5,소재(Ma),Specialty Chemicals,,1,0,0.725238373,3,2,2,2,2,2,2,,,,0,0,0,4,,,,
